id,year,stock,between,out_degree,in_degree,oil,inv,l,open,oilout_degree,oilin_degree,oilbetween
12,2017,0.1823,53.2489,9.0000,10.0000,0.1175,0.3429,0.3872,0.3981,1.0578,1.1753,6.2586
13,2008,-0.6040,261.2865,17.0000,14.0000,-0.7213,0.3431,0.4776,0.5500,-12.2627,-10.0987,-188.4747
13,2009,0.5935,151.9373,9.0000,15.0000,0.5763,0.3648,0.4802,0.4275,5.1863,8.6439,87.5555
13,2010,0.1607,109.7155,8.0000,16.0000,0.1410,0.3650,0.4824,0.4670,1.1283,2.2565,15.4734
13,2011,-0.2829,129.5905,10.0000,16.0000,0.0784,0.3958,0.4830,0.5018,0.7837,1.2540,10.1566
13,2012,0.2287,86.8222,6.0000,17.0000,-0.0736,0.3827,0.4830,0.4958,-0.4414,-1.2507,-6.3876
13,2013,0.0860,95.5016,5.0000,17.0000,0.0694,0.3420,0.4827,0.4864,0.3471,1.1800,6.6291
13,2014,0.2615,90.0508,6.0000,16.0000,-0.6139,0.3418,0.4824,0.4808,-3.6832,-9.8219,-55.2795
13,2015,-0.0516,50.2278,5.0000,19.0000,-0.3634,0.3275,0.4748,0.4187,-1.8169,-6.9041,-18.2515
13,2016,0.0193,47.4397,3.0000,17.0000,0.3718,0.3142,0.4802,0.3739,1.1154,6.3204,17.6375
13,2017,0.2461,141.1933,7.0000,17.0000,0.1175,0.3142,0.4802,0.3739,0.8227,1.9981,16.5951
17,2008,-0.3295,0.0000,1.0000,3.0000,-0.7213,0.2989,0.5239,0.3440,-0.7213,-2.1640,0.0000
17,2009,-0.0850,0.0000,0.0000,2.0000,0.5763,0.2630,0.5226,0.2449,0.0000,1.1525,0.0000
17,2010,-0.0652,0.0000,0.0000,3.0000,0.1410,0.2551,0.5205,0.2861,0.0000,0.4231,0.0000
17,2011,-0.1737,0.0000,0.0000,2.0000,0.0784,0.2322,0.5161,0.3039,0.0000,0.1567,0.0000
17,2012,-0.0190,0.0000,0.0000,2.0000,-0.0736,0.2171,0.5144,0.3064,0.0000,-0.1471,0.0000
17,2013,0.0538,0.0000,0.0000,4.0000,0.0694,0.2072,0.5178,0.3415,0.0000,0.2777,0.0000
17,2014,0.0471,1.0857,2.0000,2.0000,-0.6139,0.2124,0.5200,0.3755,-1.2277,-1.2277,-0.6665
17,2015,-0.0135,0.0000,0.0000,1.0000,-0.3634,0.1924,0.5220,0.3560,0.0000,-0.3634,0.0000
17,2016,0.0158,24.0000,2.0000,1.0000,0.3718,0.1985,0.5264,0.3127,0.7436,0.3718,8.9229
17,2017,-0.0203,1.1667,2.0000,1.0000,0.1175,0.1985,0.5264,0.3127,0.2351,0.1175,0.1371
18,2008,-0.4280,20.6373,5.0000,18.0000,-0.7213,0.2455,0.2622,1.4531,-3.6067,-12.9840,-14.8864
18,2009,0.1743,13.1929,3.0000,19.0000,0.5763,0.2132,0.2679,1.1553,1.7288,10.9490,7.6025
